run	head	dataset	class	image	method	correct	frac	area	conc	peak	pos_share	in_mean	out_mean	conc_pos	conc_neg
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0077.jpg	ours:protopnet	0	0.0642	0.0732	0.8774	0	1.0000	0.244492	0.281346	0.8774	nan
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0077.jpg	gradcam	0	0.0687	0.0732	0.9384	0	0.0000	-0.00146134	-0.00156485	0.0000	0.9384
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0077.jpg	hirescam	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0077.jpg	integrated_gradients	0	0.0278	0.0732	0.3801	0	1.0000	5.21802e-08	1.44006e-07	0.3801	nan
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0077.jpg	lime	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0077.jpg	kernelshap	0	0.0467	0.0732	0.6386	0	1.0000	3.22958e-05	5.20166e-05	0.6386	nan
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0501.jpg	ours:protopnet	0	0.0054	0.0056	0.9653	0	1.0000	0.268785	0.278503	0.9653	nan
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0501.jpg	gradcam	0	0.0004	0.0056	0.0659	0	0.0000	-8.15643e-05	-0.00148916	173.9121	0.0605
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0501.jpg	hirescam	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0501.jpg	integrated_gradients	0	0.0039	0.0056	0.6928	0	1.0000	6.6285e-08	9.58484e-08	0.6928	nan
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0501.jpg	lime	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0501.jpg	kernelshap	0	0.0093	0.0056	1.6734	0	1.0000	6.12115e-05	3.64398e-05	1.6734	nan
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0805.jpg	ours:protopnet	0	0.0072	0.0088	0.8185	0	1.0000	0.227969	0.278984	0.8185	nan
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0805.jpg	gradcam	0	0.0190	0.0088	2.1648	0	0.0000	-0.00327522	-0.00149727	0.0000	2.1649
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0805.jpg	hirescam	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0805.jpg	integrated_gradients	0	0.0048	0.0088	0.5454	0	1.0000	2.52185e-08	4.64238e-08	0.5454	nan
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0805.jpg	lime	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0805.jpg	kernelshap	0	0.0064	0.0088	0.7260	0	1.0000	1.53041e-05	2.1131e-05	0.7260	nan
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0231.jpg	ours:protopnet	0	0.0090	0.0100	0.9013	0	1.0000	0.251133	0.2789	0.9013	nan
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0231.jpg	gradcam	0	0.0032	0.0100	0.3199	0	0.0000	-0.000478999	-0.00150747	0.0000	0.3199
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0231.jpg	hirescam	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0231.jpg	integrated_gradients	0	0.0034	0.0100	0.3446	0	1.0000	3.28607e-08	9.59954e-08	0.3446	nan
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0231.jpg	lime	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0231.jpg	kernelshap	0	0.0091	0.0100	0.9182	0	1.0000	2.97796e-05	3.24599e-05	0.9182	nan
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0873.jpg	ours:protopnet	0	0.0167	0.0167	1.0000	0	1.0000	0.278534	0.278528	1.0000	nan
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0873.jpg	gradcam	0	0.0034	0.0167	0.2054	0	0.0000	-0.000308372	-0.00152142	0.0000	0.2054
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0873.jpg	hirescam	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0873.jpg	integrated_gradients	0	0.0050	0.0167	0.3022	0	1.0000	2.58153e-08	8.64351e-08	0.3022	nan
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0873.jpg	lime	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Ascaris lumbricoides	Ascaris lumbricoides_0873.jpg	kernelshap	0	0.0100	0.0167	0.6029	0	1.0000	2.0697e-05	3.45572e-05	0.6029	nan
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0984.jpg	ours:protopnet	1	0.0025	0.0028	0.8801	0	1.0000	0.268588	0.305266	0.8801	nan
